,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.8,0.943,0.10787720759486974,0.01843652738164977,82.31952114013698,1.9271195047795118
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.821,0.0,0.10912277898404989,0.01828172080813908,82.35571458050488,1.931209422946317
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.865,0.941,0.11047456663714107,0.018226080639910828,81.3988012038002,1.924349058634789
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.889,1.06,0.11541029164297578,0.020254967770659257,82.88058058286656,1.9160440618488792
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,0.993,1.04,0.12509432072837473,0.023689401343992594,83.52202758053618,1.9326288380325423
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.935,1.12,0.1178899924331239,0.020952955897764938,83.25774830702522,1.921151241117471
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.89,1.05,0.12107728384922138,0.022076788502130216,83.37665290680538,1.9402598584381394
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.917,1.03,0.11041441757779269,0.01853323900983246,82.30467975633306,1.9162500736622405
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.922,1.06,0.1200984301793881,0.02176517657519488,83.00710047608271,1.925461823662772
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.906,1.03,0.12028393452757428,0.02153203899114643,83.32185659966,1.9335121984750003
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.965,1.08,0.11749047244900855,0.020982909946507138,83.32843686211983,1.9223224938432395
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.922,1.09,0.11795343853815035,0.020846544875307762,83.63152317246272,1.9342870767720797
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.884,1.11,0.11717666599426846,0.020665359174049235,83.38307748637607,1.9210323993320344
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.954,1.05,0.11706930534878307,0.02069694102999371,83.3813610784493,1.9151580670400108
14,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.916,1.0,0.12391864650843369,0.02312881955770613,82.93547183352673,1.9290740627854888
15,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.951,1.08,0.11824086848400413,0.021259816696753114,83.68024996611629,1.9261839064838568
16,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.766,0.888,0.11617170168599107,0.020871105289818837,81.843572296286,1.9339555460828706
17,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.788,0.0,0.11111460372877273,0.018574135708708348,81.75511221063435,1.9209691992700755
18,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.818,1.01,0.10918408476381662,0.017790962128736258,81.16225332086897,1.9162637466426986
19,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.854,1.06,0.11396918374525157,0.019709186340723137,83.13932812716028,1.913170692665517
20,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,0.967,1.02,0.11527684605995281,0.020220497825457106,83.50665184484572,1.9344433120113536
21,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.881,1.06,0.12219364309635064,0.022363259487935463,83.268341964216,1.9342764206676293
22,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.886,1.05,0.11835500779301407,0.0212828968569427,82.95265735508863,1.9084096734786726
23,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.892,1.01,0.11583806024559783,0.020199473935014207,81.94555399667138,1.9074853892052488
24,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.871,1.02,0.12380839165062194,0.02294438796247537,83.15570478885165,1.9427706610413225
25,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.92,1.01,0.11670749206204235,0.020672849823767846,83.24318633826681,1.930474371003811
26,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.932,1.05,0.11834339129296721,0.02119639855762196,83.44863091495883,1.9248582700742602
27,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.995,1.12,0.1150741505887397,0.020302410181955093,83.17690163299774,1.9148184414807474
28,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.954,1.03,0.12220646493135613,0.02236126610314753,83.34999711153336,1.9361857673320628
29,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.945,1.05,0.11698274900257158,0.020681460369931796,83.22620159598016,1.9202841935070865
30,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.892,1.11,0.12263788127974672,0.02270326800648931,83.28990303761556,1.9328986082591655
31,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.931,1.08,0.12195858913888924,0.022048287585330926,83.54550775403757,1.9422317832395493
32,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.802,0.929,0.11294979920823628,0.019802007743895657,82.5064319046862,1.9369212735919064
33,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.925,0.0,0.10895724725715056,0.018068099847222827,81.82967133797327,1.9132856485407501
34,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.838,0.912,0.11203332562469963,0.018761806635286673,81.51680181333482,1.909628013994734
35,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.901,1.05,0.11638890770985831,0.020358444014365956,83.25630042379213,1.92697448132094
36,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,0.903,1.04,0.12113378792684323,0.02227554263783423,83.27874660609186,1.9270355478429337
37,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.903,1.04,0.12732384494597895,0.02420094741762676,83.6081263253867,1.9431964186783262
38,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.909,1.02,0.11671069749694903,0.02037940235602953,83.18394914333831,1.9158363565893524
39,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.911,1.05,0.11287804371300292,0.019337450991147042,82.2947030672649,1.9236256265428437
40,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.879,1.04,0.11773921859967834,0.02095679994019104,83.15980666709204,1.9115522596366645
41,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.865,1.03,0.11575976260460977,0.02018280010261843,83.28974852720033,1.921830872866849
42,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.887,1.05,0.11517139730590868,0.019936532903558145,83.66358231271376,1.9241836598475857
43,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.876,1.01,0.11633822537105704,0.02054900843534545,83.19444832617302,1.92769539510482
44,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.888,2.38,0.11725811720637204,0.02093137640509366,83.32409880639302,1.9226538673365212
45,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.897,1.02,0.1280079235923086,0.024480260078645448,83.33751208628509,1.945470315989951
46,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB1,0.93,1.16,0.1143720850062441,0.01969452964534025,83.06967387234184,1.9233326054254576
47,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_btagDeepB2,0.935,1.06,0.11776829969626625,0.02083182969471196,83.73499787658126,1.9277053649711888
48,HLT_PFHT180,recon_Wmass,0.822,0.815,0.12874397898001338,0.025925219774887386,82.57484716742556,1.9642981967213018
49,HLT_PFHT180,recon_Hmass,0.846,0.0,0.13494457717048278,0.02695392212643736,82.50439649770009,1.976519734217618
50,HLT_PFHT180,deltaR_reconHW,0.82,0.813,0.12705050195852555,0.02472735395573393,81.28150121708632,1.9704361473544623
51,HLT_PFHT180,recon_Hpt,0.962,0.957,0.13859992812444952,0.02887263100316304,83.87538205258119,1.9677644007547315
52,HLT_PFHT180,recon_Wpt,0.954,0.937,0.13626377989168992,0.027920896333117638,83.9449798960058,1.977046630713403
53,HLT_PFHT180,deltaR_bb,0.972,0.993,0.13579410027914954,0.027697426186899864,83.99867834425596,1.9723843697131542
54,HLT_PFHT180,deltaR_W,0.925,0.93,0.13644920448461859,0.027987895752247714,83.94775226337507,1.9760114864106981
55,HLT_PFHT180,Jet_HT,0.99,0.96,0.13185829763635903,0.02616450109571658,83.51837792542261,1.980059767278334
56,HLT_PFHT180,bJet_pt1,1.01,0.96,0.1379779257316305,0.028462423740164833,83.68348772350973,1.9719751596007882
57,HLT_PFHT180,bJet_pt2,0.958,0.986,0.13295970379443264,0.026240923739209054,83.57563950954399,1.969607625115259
58,HLT_PFHT180,WJet_pt1,0.996,0.964,0.14106664208123204,0.030045935525141662,84.06648478532466,1.9772751174748464
59,HLT_PFHT180,WJet_pt2,0.922,0.95,0.13340544848381466,0.026946620579119684,83.94869230402512,1.9706128007444477
60,HLT_PFHT180,bJet_btagDeepB1,0.952,0.959,0.13816281415961293,0.02877013212696898,84.06817257434868,1.9730669110184635
61,HLT_PFHT180,bJet_btagDeepB2,0.968,0.974,0.13586195304603582,0.027872066591176945,83.95241700976075,1.9709336953571892
62,HLT_PFHT180,WJet_btagDeepB1,0.963,0.969,0.13607494131632514,0.027966950075452822,84.10055119501251,1.9744278214925544
63,HLT_PFHT180,WJet_btagDeepB2,0.954,0.968,0.14295777111850905,0.030334643037331292,83.7923661454798,1.9723833174778065
64,HLT_PFHT180,recon_Wmass,0.791,0.803,0.13183199799865136,0.027108282693896,82.58881534995288,1.9742016513464478
65,HLT_PFHT180,recon_Hmass,0.849,0.0,0.12560615225446334,0.023422045631699542,82.62631908132728,1.9758132287538501
66,HLT_PFHT180,deltaR_reconHW,0.838,0.827,0.13201708263665063,0.026365356738197874,81.42167137144605,1.9748604421668574
67,HLT_PFHT180,recon_Hpt,0.975,0.993,0.13470674897896084,0.027255168807051942,84.0130061551575,1.9651534951731264
68,HLT_PFHT180,recon_Wpt,0.946,0.955,0.13975945676720994,0.029138652200684543,83.80920196814057,1.9709462449759485
69,HLT_PFHT180,deltaR_bb,0.969,0.979,0.13377441282051228,0.027093397142328047,84.21954095669994,1.9746656501347388
70,HLT_PFHT180,deltaR_W,0.913,0.92,0.1381175359119695,0.028535683317232576,83.97702116219867,1.9720745392091885
71,HLT_PFHT180,Jet_HT,0.968,0.977,0.13529829854484487,0.02766158640795503,83.31000148830097,1.9605783258218707
72,HLT_PFHT180,bJet_pt1,0.95,0.972,0.1336256126240426,0.027043551621324227,83.87283037838802,1.9766807763730867
73,HLT_PFHT180,bJet_pt2,0.958,0.954,0.13490192071309076,0.0270286921660048,83.7329142747364,1.9718159934188861
74,HLT_PFHT180,WJet_pt1,0.966,0.958,0.1349426776505199,0.027146051463200857,83.98189015131533,1.9709851828948786
75,HLT_PFHT180,WJet_pt2,0.935,0.963,0.13525861339360482,0.02766036148805802,83.83068586064996,1.965254482556702
76,HLT_PFHT180,bJet_btagDeepB1,0.987,0.968,0.1347657602551926,0.027575374506108592,83.83120726127282,1.9666050776479551
77,HLT_PFHT180,bJet_btagDeepB2,0.97,0.978,0.13475967617066553,0.02747752085017725,84.22790909032793,1.97291674022415
78,HLT_PFHT180,WJet_btagDeepB1,0.961,0.946,0.14174900319104763,0.029975269485940013,83.91833327600878,1.9746401602324113
79,HLT_PFHT180,WJet_btagDeepB2,0.975,0.944,0.1401384633754132,0.029508013815175867,83.98350160592267,1.9733542075080095
80,HLT_PFHT180,recon_Wmass,0.787,0.8,0.13088994256534733,0.026837933114598946,82.54756082599984,1.9706325159806966
81,HLT_PFHT180,recon_Hmass,0.845,0.0,0.12712858260372303,0.02412701028054418,82.57209149061622,1.9714274969251164
82,HLT_PFHT180,deltaR_reconHW,0.846,0.835,0.12852568412359267,0.02510628838154519,81.51590206297406,1.9677702410253914
83,HLT_PFHT180,recon_Hpt,0.962,0.954,0.13808714596911634,0.02879870133321158,83.98281123948784,1.971480678846774
84,HLT_PFHT180,recon_Wpt,0.966,0.938,0.13621737022447974,0.027906654567201507,83.99621116253886,1.9703303638088414
85,HLT_PFHT180,deltaR_bb,0.992,0.995,0.13554342714578116,0.027760840000443203,84.00190949015442,1.9707216015050335
86,HLT_PFHT180,deltaR_W,0.913,0.939,0.13930569351036867,0.029178624109793848,83.75253270076371,1.970971323937988
87,HLT_PFHT180,Jet_HT,0.98,0.973,0.13267973051259935,0.026670215225513518,83.2764464706524,1.964586798911526
88,HLT_PFHT180,bJet_pt1,0.967,0.972,0.1335680171850021,0.02688132778260583,83.5654342248319,1.9690433536085266
89,HLT_PFHT180,bJet_pt2,0.942,0.945,0.13242489365964755,0.026326254556668618,83.41711864774989,1.9656080426361768
90,HLT_PFHT180,WJet_pt1,0.98,0.978,0.13587067223110963,0.02816851762300283,84.13043248877639,1.973416180160939
91,HLT_PFHT180,WJet_pt2,0.948,0.996,0.13399852396341363,0.027111532533693337,83.88015759456603,1.9713418455774558
92,HLT_PFHT180,bJet_btagDeepB1,0.968,0.996,0.13653816274502006,0.028397445128079422,84.08419326265329,1.9761552064471744
93,HLT_PFHT180,bJet_btagDeepB2,0.99,0.98,0.13417856694743244,0.0272968671014529,84.12445989816183,1.973561307196519
94,HLT_PFHT180,WJet_btagDeepB1,0.96,0.98,0.1321286405035141,0.026458809282032435,84.13494654054608,1.970900401481913
95,HLT_PFHT180,WJet_btagDeepB2,0.955,0.939,0.13861283182929418,0.029025984634268337,84.02865270297873,1.9778032610802256
